상점	시도명	시군구명	경도	위도
이디야	서울특별시	강남구	127.068507100293	37.4979912661689
이디야	서울특별시	서초구	126.982147054224	37.4773384162976
스타벅스	서울특별시	강남구	127.030536634875	37.4948924865489
이디야	서울특별시	강남구	127.035354656802	37.5080422802738
이디야	서울특별시	강남구	127.040652567424	37.5023907598919
스타벅스	서울특별시	강남구	127.032473020123	37.4885559134485
이디야	서울특별시	중구	126.993907621239	37.5614259780878
스타벅스	서울특별시	강남구	127.039222819099	37.5018745487421
이디야	서울특별시	강남구	127.025555471117	37.5031321984073
스타벅스	서울특별시	강남구	127.040352822046	37.5090200893742
이디야	서울특별시	마포구	126.890965756325	37.5811104968407
이디야	서울특별시	마포구	126.91999426097	37.5568354275046
이디야	서울특별시	서초구	127.0169304208	37.484670199789
이디야	서울특별시	서초구	127.00239321346	37.5039300142165
스타벅스	서울특별시	서초구	127.013361956833	37.4963541721937
스타벅스	서울특별시	마포구	126.913937441506	37.5514907709978
이디야	서울특별시	강남구	127.062221296007	37.4996265116081
스타벅스	서울특별시	영등포구	126.926163737378	37.5204625862643
스타벅스	서울특별시	중구	126.983715734748	37.5651230629393
이디야	서울특별시	종로구	126.966763285432	37.60579292442
스타벅스	서울특별시	마포구	126.924866123909	37.5533297985066
스타벅스	서울특별시	마포구	126.923258698504	37.5502065639045
이디야	서울특별시	종로구	126.976285499202	37.5712580290613
스타벅스	서울특별시	강남구	127.054163435442	37.4892992237675
이디야	서울특별시	서초구	127.013448018261	37.5095823555688
스타벅스	서울특별시	강남구	127.029679239432	37.4964803158248
스타벅스	서울특별시	중구	126.97202179687	37.5602553075084
이디야	서울특별시	종로구	126.984173416485	37.5689293983818
이디야	서울특별시	영등포구	126.90187402177	37.5344666842402
이디야	서울특별시	마포구	126.890828379752	37.5773969503192
스타벅스	서울특별시	종로구	126.981764800071	37.5853706511239
스타벅스	서울특별시	종로구	127.002321047314	37.5815275489605
스타벅스	서울특별시	강남구	127.023368467937	37.5173417649322
스타벅스	서울특별시	영등포구	126.927877610239	37.5208565955424
이디야	서울특별시	강남구	127.035177610748	37.5007062485243
스타벅스	서울특별시	영등포구	126.929700867318	37.5223057934039
스타벅스	서울특별시	강남구	127.059426824816	37.5096240415368
이디야	서울특별시	강남구	127.038880731616	37.4959157868406
스타벅스	서울특별시	서초구	127.025903621913	37.4980981742341
스타벅스	서울특별시	강남구	127.065230995138	37.5085888497427
스타벅스	서울특별시	중구	126.985154617678	37.5625224178487
이디야	서울특별시	중구	126.972166856166	37.562878601942
스타벅스	서울특별시	서초구	127.00239321346	37.5039300142165
스타벅스	서울특별시	영등포구	126.917696594815	37.5263141620611
이디야	서울특별시	중구	126.983872420311	37.5610877418444
스타벅스	서울특별시	종로구	126.988011270682	37.5697372559916
스타벅스	서울특별시	강남구	127.048406096675	37.4992276933378
이디야	서울특별시	마포구	126.897257447574	37.5682756452677
이디야	서울특별시	강남구	127.037733772702	37.5015740906142
이디야	서울특별시	중구	126.983227937665	37.5668668840396
이디야	서울특별시	중구	126.983083260827	37.5608556864363
이디야	서울특별시	마포구	126.923599454067	37.5572017356505
이디야	서울특별시	강남구	127.040513119755	37.5265378643378
이디야	서울특별시	강남구	127.055580896323	37.5069442507099
스타벅스	서울특별시	강남구	127.057395337984	37.4921723983972
스타벅스	서울특별시	강남구	127.031801329315	37.4906588834388
스타벅스	서울특별시	중구	127.021448203321	37.5708030625306
이디야	서울특별시	영등포구	126.924863083917	37.5251722235016
스타벅스	서울특별시	마포구	126.889225742053	37.5763006405148
이디야	서울특별시	종로구	126.98563245418	37.5773666774701
스타벅스	서울특별시	강남구	127.043762069759	37.5033350490038
스타벅스	서울특별시	강남구	127.034716758462	37.5268330299984
이디야	서울특별시	서초구	127.042575597088	37.4819884081853
이디야	서울특별시	서초구	127.007423858098	37.5092345394587
스타벅스	서울특별시	중구	126.972980242325	37.5613448991997
이디야	서울특별시	중구	126.978972751429	37.5676230751955
이디야	서울특별시	마포구	126.910706356566	37.5557679688127
스타벅스	서울특별시	종로구	126.982423077525	37.5711128646326
이디야	서울특별시	종로구	126.972615705273	37.5771730114202
이디야	서울특별시	강남구	127.089578831632	37.4903343408695
이디야	서울특별시	강남구	127.060193379989	37.5152437173541
이디야	서울특별시	강남구	127.056219039363	37.5083640085869
스타벅스	서울특별시	영등포구	126.909582972668	37.518670766386
스타벅스	서울특별시	마포구	126.91690425281	37.5513738575528
스타벅스	서울특별시	중구	126.973244053454	37.5586170363758
스타벅스	서울특별시	중구	126.976779068076	37.5624861660097
스타벅스	서울특별시	중구	126.985233766251	37.5616941389797
이디야	서울특별시	서초구	127.023886925474	37.502721958552
이디야	서울특별시	종로구	126.981226721716	37.57500405238
이디야	서울특별시	영등포구	126.903914224263	37.5172126661057
스타벅스	서울특별시	강남구	127.059139102428	37.5118203253706
이디야	서울특별시	종로구	126.980683542366	37.5716655130709
이디야	서울특별시	서초구	126.985676893834	37.4972370082012
스타벅스	서울특별시	마포구	126.955506568425	37.5522442617746
이디야	서울특별시	강남구	127.063192969498	37.5105640373674
이디야	서울특별시	중구	126.9858514681	37.5620508533364
이디야	서울특별시	강남구	127.0511760602	37.5037642661984
스타벅스	서울특별시	중구	126.980757256014	37.5637640159767
이디야	서울특별시	강남구	127.027517730607	37.4992107601886
이디야	서울특별시	종로구	127.00223302563	37.5821845648109
스타벅스	서울특별시	강남구	127.053715109294	37.497945786956
스타벅스	서울특별시	영등포구	126.931778543643	37.5201981385118
이디야	서울특별시	마포구	126.923207056972	37.5475029730671
이디야	서울특별시	마포구	126.923245387766	37.5519184178298
이디야	서울특별시	강남구	127.028627805482	37.5191511988017
스타벅스	서울특별시	강남구	127.039391664754	37.4922256105997
이디야	서울특별시	영등포구	126.894590815571	37.537300079323
이디야	서울특별시	중구	126.97785493719	37.5674151730747
스타벅스	서울특별시	영등포구	126.896859894016	37.5338162535295
이디야	서울특별시	강남구	127.051146995902	37.5176763205093
이디야	서울특별시	중구	126.97892425905	37.5637121351238
이디야	서울특별시	영등포구	126.923429755471	37.523357078957
이디야	서울특별시	마포구	126.918561136612	37.5534073725796
스타벅스	서울특별시	서초구	126.99050928001	37.4919441682448
스타벅스	서울특별시	강남구	127.057428066223	37.5075627123392
이디야	서울특별시	중구	126.982828101442	37.5646378662118
스타벅스	서울특별시	종로구	127.016068581604	37.5727136114594
스타벅스	서울특별시	마포구	126.912045905558	37.5500407049077
이디야	서울특별시	영등포구	126.910059618499	37.5045648097649
이디야	서울특별시	중구	126.985737720211	37.5637618569889
스타벅스	서울특별시	강남구	127.058815537065	37.5033568327036
스타벅스	서울특별시	중구	126.99033643077	37.5643689326381
스타벅스	서울특별시	중구	126.984532402493	37.5641659751905
이디야	서울특별시	마포구	126.934663601496	37.5551666257155
스타벅스	서울특별시	서초구	127.011922479411	37.5086144884618
스타벅스	서울특별시	마포구	126.947462780197	37.5439913688051
이디야	서울특별시	영등포구	126.916882222676	37.5278654998234
스타벅스	서울특별시	서초구	127.056252426389	37.4472723955747
스타벅스	서울특별시	강남구	127.060159533829	37.4989974073525
이디야	서울특별시	중구	126.973615890497	37.5570884974281
스타벅스	서울특별시	마포구	126.953346488998	37.5424217910583
스타벅스	서울특별시	중구	127.01071622934	37.5554228939156
스타벅스	서울특별시	중구	126.980582926744	37.5591131321314
스타벅스	서울특별시	중구	126.982258687479	37.5632273331076
스타벅스	서울특별시	중구	126.982911122996	37.5601964424547
이디야	서울특별시	강남구	127.032255003449	37.5115850987019
이디야	서울특별시	영등포구	126.929275063441	37.5204367716676
이디야	서울특별시	강남구	127.029541735527	37.5263220722528
이디야	서울특별시	중구	127.016440661325	37.565940863069
이디야	서울특별시	강남구	127.030693855019	37.4923527985882
스타벅스	서울특별시	영등포구	126.905019084861	37.5267559445456
이디야	서울특별시	마포구	126.94155205656	37.5482545237074
이디야	서울특별시	서초구	126.986552647513	37.493523177117
스타벅스	서울특별시	중구	127.007191644785	37.5651606310157
이디야	서울특별시	서초구	127.022582353053	37.507360608756
이디야	서울특별시	중구	126.980758504179	37.5603490764434
이디야	서울특별시	마포구	126.947462780197	37.5439913688051
이디야	서울특별시	영등포구	126.924872251138	37.5292630435403
