상호명|시도명|시군구명|경도|위도
스타벅스|서울특별시|용산구|126.994781275664|37.5343029422413
스타벅스종로3가점|서울특별시|종로구|126.990207240455|37.5705850186896
스타벅스|서울특별시|서초구|127.019762756075|37.5136626341355
스타벅스커피여의도IFC1F|서울특별시|영등포구|126.924863083917|37.5251722235016
스타벅스|서울특별시|강남구|127.063878213052|37.5100378471739
스타벅스|서울특별시|관악구|126.930215862294|37.4838447505118
스타벅스신림사거리점|서울특별시|관악구|126.930487328505|37.4846311218944
스타벅스|서울특별시|강동구|127.127021430163|37.5387875765447
스타벅스커피홍대역|서울특별시|마포구|126.923599454067|37.5572017356505
스타벅스|서울특별시|강남구|127.020634740018|37.5161838031466
스타벅스|서울특별시|강서구|126.846035970796|37.5322853352387
스타벅스올림픽평화의문점|서울특별시|송파구|127.116316775923|37.5157850739286
스타벅스|서울특별시|영등포구|126.89647871302|37.5174497816404
스타벅스|서울특별시|마포구|126.937543279963|37.552426380667
스타벅스새문안로점|서울특별시|종로구|126.974868861844|37.5697229770514
스타벅스|서울특별시|종로구|126.982159843769|37.5696599190406
스타벅스|서울특별시|강남구|127.057100286394|37.5129393969289
스타벅스연신내역|서울특별시|은평구|126.920109807595|37.6178004460527
스타벅스연세백양로점|서울특별시|서대문구|126.942916817516|37.5638006863037
스타벅스가락시장역점|서울특별시|송파구|127.121533304074|37.4944057821458
스타벅스외대점|서울특별시|동대문구|127.061378960488|37.5957258221365
스타벅스|서울특별시|영등포구|126.920219188165|37.527905068142
스타벅스|서울특별시|동작구|126.923356791891|37.4914233391678
스타벅스|서울특별시|서초구|127.026828896545|37.4982589797032
스타벅스|서울특별시|강남구|127.055213389641|37.496615204091
스타벅스|서울특별시|성북구|127.040441763055|37.6018196933437
스타벅스명지대점|서울특별시|서대문구|126.92232239793|37.5782833640608
스타벅스석촌역|서울특별시|송파구|127.106013406608|37.5042460725183
스타벅스|서울특별시|서대문구|126.939277954266|37.5561993158556
스타벅스|서울특별시|중구|126.969202890528|37.5635826036441
스타벅스|서울특별시|서초구|127.021572760891|37.4859161526789
스타벅스압구정로데오역|서울특별시|강남구|127.040513119755|37.5265378643378
스타벅스|서울특별시|서대문구|126.950301476769|37.5642810556138
스타벅스연대동문|서울특별시|서대문구|126.946321109963|37.5664080915476
스타벅스|서울특별시|강남구|127.051439622604|37.518687851269
스타벅스|서울특별시|강남구|127.041239849867|37.5166051560388
스타벅스|서울특별시|강서구|126.844334259983|37.5582364999702
스타벅스서울대입구역점|서울특별시|관악구|126.951319198625|37.4811055353469
스타벅스신림점|서울특별시|관악구|126.929154905595|37.4860877636316
스타벅스강남삼성타운점|서울특별시|서초구|127.027735014225|37.4955362431632
스타벅스|서울특별시|용산구|127.00563260758|37.5334126703028
스타벅스사당점|서울특별시|관악구|126.981000032052|37.4760490313049
스타벅스|서울특별시|강남구|127.033000493348|37.494128761553
스타벅스|서울특별시|성북구|127.030747660126|37.5860984036961
스타벅스|서울특별시|중구|126.968622139719|37.5671186223597
스타벅스|서울특별시|광진구|127.087179393284|37.5452982782211
스타벅스광장점|서울특별시|광진구|127.099644411941|37.5429521266911
스타벅스|서울특별시|영등포구|126.889681386224|37.5196567010522
스타벅스신촌명물거리점|서울특별시|서대문구|126.938123543095|37.5577927897877
스타벅스|서울특별시|강서구|126.861799100259|37.5581809080942
스타벅스명동미래|서울특별시|중구|126.984532402493|37.5641659751905
스타벅스|서울특별시|중구|127.014331146174|37.5653916533212
스타벅스|서울특별시|강남구|127.06190405786|37.4933436201599
스타벅스건국클래식점|서울특별시|광진구|127.070902015585|37.53835036397
스타벅스|서울특별시|송파구|127.079029120505|37.510526383519
스타벅스연희DT점|서울특별시|서대문구|126.933883655016|37.5701889114964
스타벅스삼선교점|서울특별시|성북구|127.007320332261|37.5887239609069
스타벅스|서울특별시|중랑구|127.077541387095|37.6138290492447
스타벅스|서울특별시|송파구|127.099535260634|37.5153249372707
스타벅스커피여의도호성|서울특별시|영등포구|126.929275063441|37.5204367716676
스타벅스충정타워|서울특별시|서대문구|126.964069882556|37.5598884579046
스타벅스올림픽공원북문점|서울특별시|강동구|127.125932145036|37.5254709132425
스타벅스|서울특별시|서초구|126.99245761598|37.4900145248382
스타벅스|서울특별시|성북구|127.031701809695|37.5884849860916
스타벅스|서울특별시|중구|126.975395770913|37.5585276043331
스타벅스종각점|서울특별시|종로구|126.984521790682|37.5699505724323
스타벅스이수역점|서울특별시|서초구|126.982689936644|37.4864978042431
스타벅스방배카페입구|서울특별시|서초구|126.985676893834|37.4972370082012
스타벅스|서울특별시|강남구|127.101842066177|37.4880133628924
스타벅스|서울특별시|강남구|127.052704674305|37.5134718899824
스타벅스W-MALL점|서울특별시|금천구|126.887662548608|37.4773156374838
스타벅스|서울특별시|중구|126.983312623474|37.5656331860355
스타벅스|서울특별시|강남구|127.035741342646|37.5149114670439
스타벅스|서울특별시|광진구|127.069158822263|37.5356695214728
스타벅스마포일진빌딩점|서울특별시|마포구|126.946358128038|37.5404674503959
스타벅스천호로데오점|서울특별시|강동구|127.12731542401|37.5378346304637
스타벅스명동메트로|서울특별시|중구|126.983715734748|37.5651230629393
스타벅스|서울특별시|강남구|127.033792423212|37.4993703754632
스타벅스용산역점|서울특별시|용산구|126.963222625326|37.527902979157
스타벅스|서울특별시|종로구|126.986453481237|37.579437112041
스타벅스|서울특별시|강북구|127.026107842176|37.6380230767307
스타벅스|서울특별시|강남구|127.034941231236|37.4997401884001
스타벅스마포아크로타워점|서울특별시|마포구|126.949139204869|37.5414563490381
